,Data Item,Data Item Description,Data Item Entry,Notes,New Data Item,Origin,Qpis,Collection,Data Type,% Missing
10,nstage,Tumour Staging Nodes (N),"0 == no evidence in nearby nodes, [1;2;3;4] == increase severity of cancer in nearby nodes",The spread to nearby lymph nodes (N): Has the cancer spread to nearby lymph nodes?,N_Stage,Clinical,yes,routine,category,0.0
11,Cmprsk_Status,,,,Cmprsk_Status,Clinical,yes,research,category,0.0
12,Neut,Neutrophil Count,,"In many patients with advanced cancer, elevated counts of neutrophils in blood are found. N of cells per micro litre",Neutrophils,Laboratory,no,routine,float64,0.97
13,precrp,Pre-operative C-reactive protein (CRP) concentration,,"Systemic inflammation plays an important role in occurrence, progression, metastasis, and recurrence of colorectal cancer.  Inflammatory response biomarkers, C-reactive protein (CRP), are thought to be associated with survival in CRC patients. Concentrations (mg/l) were recorded within 30 days pior to surgery. ",Preoperative_CRP,Laboratory,no,routine,float64,0.0
14,prealb,Pre-operative albumin protein concentration,,"Systemic inflammation has been widely recognised as a factor that contributed to occurrence, progression, metastasis, and recurrence of colorectal cancer. Inflammatory response biomarkers, albumin, are thought to be associated with survival in CRC patients. Concentrations (mg/l) were recorded within 30 days pior to surgery.",Preoperative_Albumin,Laboratory,no,routine,float64,0.0
15,pre_lymph,Pre-operative systemic lymph node count,,,Preoperative_Lymphocytes,Laboratory,no,routine,float64,0.97
16,Lymphoid_aggregates,Lymphoid Arrregates,,"Some colorectal cancers exhibit an inflammatory response called the Crohn’s-like lymphoid recation (CLR), in which lymphoid aggregates form around tumours. It’s not clear, however, what these aggregates reveal about cancer prognosis.",Lymphoid_Aggregates,Pathology,no,research,float64,3.6
17,Germinal_centres,Germinal Centres,,"Continuous Variable measuring histology. Germinal Centres (GCs) are transient structures in secondary lymphoid organs, where affinity maturation of B cells takes place following an infection. While GCs are responsible for protective antibody responses, dysregulated GC reactions are associated with autoimmune disease and B cell lymphoma.",Germinal_Centres,Pathology,no,research,float64,3.6
18,IE_Lymphocytes,,,"digital pathology. Lymphopenia is a condition characterized by a lower-than-normal level of lymphocytes, which are a type of white blood cell that plays a crucial role in the immune system. Colorectal cancer itself is not a direct cause of lymphopenia. However, lymphopenia can be seen in cancer patients for several reasons: Chemotherapy and radiation therapy, which are commonly used to treat colorectal cancer and other cancers, can have a suppressive effect on the bone marrow, leading to a decrease in the production of blood cells, including lymphocytes. <br><br> If colorectal cancer has spread (metastasized) to other parts of the body, it can affect the bone marrow and potentially lead to reduced lymphocyte production. The tumor microenvironment created by colorectal cancer may produce factors that suppress the immune system, including the depletion of lymphocytes. n advanced stages of colorectal cancer, patients may experience complications such as infections or sepsis, which can impact the levels of various blood cells, including lymphocytes.",Intraepithelial_Lymphocytes,Pathology,no,research,float64,3.6
19,Differentiation,Differentiation,"1 == caner cells look like normal cell,
2 == cancer cells look moderately different,
3 == cancer cells look abnormal",Cancer Grading: How different tumour cells look compared to normal cells,Histological_Grade,Pathology,yes,routine,object,0.69
20,Tumour_budding,Tumour Budding,"0 == low, 1 == high",A marker of aggressive tumour behaviour. A supplement to the current TNM staging system. An additional prognostic factor in colorectal cancer,Tumour_Budding,Pathology,no,research,Int8,3.6
21,TuPerf,Tumour Perforation,"0 == absent, 1 == present",Tumour perforation is associated with locally advanced cancer and usually occurs following tumor necrosis and an adjacent inflammatory reaction,Tumour_Perforation,Pathology,no,research,Int8,0.0
22,MargInv,Resection Margin Involvement,"0 == absent, 1 == present",The margin of apparently non-tumorous tissue around a tumour that has been surgically removed,Margin_Invasion,Pathology,yes,routine,Int8,0.0
23,venousinv,Venous Invasion (VI),"0 == absent, 1 == present","histological way of measuring angiogenesis. Angiogenesis is the formation of new blood vessels. This is normally a helpful, important process that supports wound healing and supplies oxygen-rich blood to your organs and tissues. But in people with cancer, angiogenesis supports tumor growth and spread by feeding tumors with oxygen and nutrients. <br><br> Vascular invasion (VI), or blood and/or lymph vessel invasion (LBVI), is the presence of tumor cells within the lumen of blood and/or lymph vessel, producing circulating tumor cells. VI Is widely accepted as a poor prognostic factor in CRC patients, and is indicated as a high-risk factor determining the use of adjuvant chemotherapy in CRC.",Venous_Invasion,Pathology,no,research,Int8,0.0
24,PeritInv,Peritoneal involvement,"0 == absent, 1 == present","When bowel cancer spreads to the peritoneum it is called peritoneal metastasis. The peritoneum is a thin layer of tissue that lines the inside of the tummy, including your stomach, liver and bowel. Peritoneal metastases (PM) in colorectal cancer (CRC) are associated with therapy resistance and poor survival. ",Peritoneal_Invasion,Pathology,no,research,Int8,0.0
25,TSP_Pete,Tumour Stroma Percentage (TSP),,"Tumour stroma percentage (TSP). The tumour microenvironment, particularly the tumour stroma, has a key role in cancer progression and survival. High tumour stroma percentage (TSP) is identified as a marker of poor prognosis ( recurence and poorer long-term survival) in colorectal cancer, independent of other host and tumour determinants of survival.",Tumour_Stroma_Percentage,Pathology,no,research,float64,3.6
26,LNratio,,,,Lymph_Node_Ratio,Pathology,yes,research,float64,0.0
27,Elastica_VI,Venous Invasion (VI) by Elastica Staining,"0 == no, 1 == yes, 2== unsure","Venous Invasion (VI) is an important prognostic factor for colorectal cancer, but maybe significantly underestimated in actual daily diagnosis when using standard H&E staining. This variable covers detection of venous invasion (VI) with elastica staining.",Elastica_Venous_Invasion,Pathology,no,research,category,0.0
28,MMR_Status_Jen,Mismatch Repair Status ,"1 == MMR deficient, 2 == MMR proficient, 3 == lost of one set (set for MSI testing using PCR instead of IHC), 4 == NA","All newly diagnosed CRC patients should have their tumors tested for MSS/MSI status. Finding out which kind of tumor you have can have a big impact on what treatment options are available to you. There are two major types of colon cancer: <br> 1) Microsatellite stable (MSS) or proficient mismatch repair (pMMR) is the “normal” state our cells are in, where the mismatch repair (MMR) pathway is active and functional. MMR is the body’s system for recognizing and repairing wrong letters in DNA synthesis. MSS is the most common kind of colon cancer. <br> 2) Microsatellite instability (MSI) or deficient mismatch repair (dMMR) is the “mutant” state, where the MMR pathway is not working as usual. This is often called MSI-H for microsatellite instability high. <br><br>Some guidelines here: <br><a>https://learn.colontown.org/topic/is-my-tumor-mss-pmmr-or-msi-h-dmmr/</a> <br> <a>https://mft.nhs.uk/app/uploads/2018/09/mmr-guidelines-v2-inc-flow-chart-and-form.pdf </a><br> Check for correlation with age (good prognosis with younger age) and location (i.e. right side colon) . ",MMR_Status,Pathology,yes,routine,category,2.63
29,CD3_raw,CD3,,"The percentage of CD3-positive cells refers to the proportion of cells in a biological sample that express the CD3 marker, typically in the context of immunohistochemistry or flow cytometry. CD3 is a common cell surface marker found on mature T-cells, including both CD4-positive (helper) and CD8-positive (cytotoxic) T-cells. Where the tissue sample here is the Stroma?",CD3_Raw,MultiplexIF,no,research,float64,9.83
30,CD3_FOXP3_raw,CD3 plus FOXP3,,"The percentage of CD3-positive T-cells that are also FOXP3-positive is an important measure in immunology and clinical research, as it can provide insights into the regulatory T-cell (Treg) population. FOXP3 is a marker commonly associated with regulatory T-cells, and the co-expression of CD3 and FOXP3 suggests the presence of Tregs (regulatory T-cells) within a sample. CD3-positive are count of number of T-cells which are CD3. CD3-p and FOXP3-p number of T-cells which are CD3 and express FOXP3. Patients with tumors have a local relative excess of FOXP3 positive T cells which inhibits the body's ability to suppress the formation of cancerous cells",CD3_FOXP3_Raw,MultiplexIF,no,research,float64,13.57
31,CD68_raw,CD68,,The percentage of CD68-positive cells in a sample that is pan-CK (cytokeratin)-negative is a measure used in pathology and immunohistochemistry to assess the presence of macrophages or monocytes in a tissue sample when the epithelial cells (typically stained with pan-CK) are not present. The cell-surface protein CD68 is a common marker for macrophages and monocytes (immune cells).CD68 percentage of macrophages in Stroma areas (percentage of CD68 positive cells in pan CK-negative – not tumour cell),CD68_Raw,MultiplexIF,no,research,float64,10.8
32,CD163_Str,CD163 Stroma,,protein (CD163) location (Str==stroma) cut-off??. CD163 protein is primarily expressed on the surface of a specific type of immune cell known as macrophages. CD163-expressing macrophages can have immunoregulatory functions and may be associated with different aspects of tumor progression and immune responses. Understanding the presence and distribution of CD163-positive macrophages in the stroma can provide insights into the tumor microenvironment and its interactions with the immune system.,CD163_Stroma,MultiplexIF,no,research,float64,13.85
33,CD66b,CD66b,,protein (CD66b) location (Stroma) cut-off??. CD66b is a cell surface protein expressed on neutrophils and some other white blood cells. The percentage of CD66b-positive cells in a sample that are pan cytokeratin (pan CK) negative (indicating that they are not tumor cells). This percentage can be useful in characterizing the immune cell composition in the tissue and assessing the presence of neutrophils in areas surrounding the tumor.,CD66b,MultiplexIF,no,research,float64,15.1
34,raw_CXCL9_s,CXCL9 Stroma,,"protein name (CXCL9) location protein expressed (s==stroma) cut-off??. Measurement of CXCL9 in the stroma is used in cancer research and pathology to study the immune microenvironment within tumor tissues. CXCL9 is often associated with immune cell recruitment and can be indicative of immune responses within the tumor stroma. Elevated levels of CXCL9 in the stroma may suggest the presence of immune cells, such as T lymphocytes, and are of interest in cancer immunotherapy research.",CXCL9_Raw,RNAScope,no,research,float64,2.22
35,raw_CXCL10_s,CXCL10 Stroma,,"protein name (CXCL10) location protein expressed (s==stroma) cut-off??. Elevated levels of CXCL10 in the stroma may suggest the presence of immune cells, such as T lymphocytes, and are of interest in cancer immunotherapy research.",CXCL10_Raw,RNAScope,no,research,float64,2.63
36,PTPN12_tum,PTPN12 Tumour,,protein name (PTPN12) + location protein expressed (tu==tumour),PTPN12_Tumour,IHC,no,research,float64,0.0
37,PTPN12_stroma,PTPN12 Stroma,,"protein name (PTPN12) + location protein expressed (st==stroma). Note: Stroma is a term used in the context of cancer to refer to the connective tissue that surrounds and supports the cancerous cells within a tumor. The stroma includes blood vessels, immune cells, and structural components like collagen. Stroma is a critical part of the tumor microenvironment and can play a significant role in tumor growth and progression",PTPN12_Stroma,IHC,no,research,float64,0.0
38,IL6R_AK_186.64,IL6 Receptor Coded,"0 == low, 1 == high","IL6 receptor split into high and low on cut-off 186.64. IL-6 receptor (IL-6R) is involved in the IL-6 signaling pathway, which has implications in cancer development and progression. The IL-6/IL-6R axis can promote cancer cell proliferation, survival, and metastasis, as well as contribute to a pro-inflammatory microenvironment that supports tumor growth. ",IL6R_AK_186_64,IHC,no,research,Int8,25.35
39,S100A2_raw,S100A2,,"protein name (S100A2) location?? cut-off??. S100A2 is a calcium-binding protein with varying expression patterns in different cancer types. While it may act as a tumor suppressor and inhibit metastasis in certain contexts, the role of S100A2 in cancer is complex and can vary depending on the specific type of cancer.",S100A2_Raw,IHC,no,research,float64,4.57
40,Cyclind1_raw,Cyclin D1,,protein name (CyclinD1) measured in tumour cell nucleus (with cut-off). ,CyclinD1_Raw,IHC,no,research,float64,22.58
41,KI67_t,KI67 Tumour,,"protein (KI67) location (t==tumour) cut-off??. Measuring Ki-67 in a tumor provides valuable information about the rate of cell division and can be an indicator of the tumor's growth potential and aggressiveness. High levels indicate a higher rate of cell division, which is often associated with more aggressive and rapidly growing tumors. Low Ki-67 levels suggest slower cell division and may be seen in less aggressive tumors.",Ki67_Tumour,IHC,no,research,float64,18.56
42,IKKA_MM,IKK-alpha,,"Protein (IKK-alpha) IHC range 0-300, measured in tumour cell cytoplasm. IKK-alpha is a protein kinase that plays a significant role in regulating the NF-κB signaling pathway. Measuring IKK-alpha in tumor cell cytoplasm can provide information about the activation of the NF-κB pathway, which can influence the tumor's behavior and response to treatments. Activation of the NF-κB pathway is often associated with inflammation, cell survival, and resistance to therapy in cancer. Understanding the level of IKK-alpha expression in tumor cells can help guide treatment decisions and provide insights into the underlying biology of the cancer.",IKK_Alpha_MM,IHC,no,research,float64,12.19
43,IKK_Beta_MM,IKK-beta,,"Protein (IKK-beta) IHC range 0-300, measured in tumour cell cytoplasm. IKK-beta is a protein kinase that plays a significant role in regulating the NF-κB signaling pathway. Measuring IKK-alpha in tumor cell cytoplasm can provide information about the activation of the NF-κB pathway, which can influence the tumor's behavior and response to treatments. Activation of the NF-κB pathway is often associated with inflammation, cell survival, and resistance to therapy in cancer. Understanding the level of IKK-beta expression in tumor cells can help guide treatment decisions and provide insights into the underlying biology of the cancer.",IKK_Beta_MM,IHC,no,research,float64,10.39
44,STAT1_tumour_raw,STAT1 Tumour,,"protein (STAT1) location protein expression (tumour==tumour). Measuring STAT1 expression in tumor cells can provide information about the activation status of the STAT1 signaling pathway and its potential role in immune responses and tumor progression. STAT1 is involved in the regulation of genes associated with immune and inflammatory responses, so its expression in tumor cells can be indicative of the tumor's interactions with the immune system.",STAT1_Tumour_Raw,IHC,no,research,float64,26.18
45,Bcat_Cyto,BCAT Cytoplasm,,"enzyme name (BCAT) location enzyme expressed (Cyto==Cytoplasm) cut-off?? So BCAT plays a crucial role in amino acid metabolism, particularly in the metabolism of branched-chain amino acids (BCAAs), including leucine, isoleucine, and valine. Measuring the expression of BCAT in the cytoplasm can provide insights into the metabolic processes occurring in cancer cells, as well as the regulation of BCAA metabolism.",BetaCatenin_Cytoplasmic,IHC,no,research,float64,14.27
46,Bcat_Nuc,BCAT Nucleus,,enzyme name (BCAT) location enzyme expressed (Nuc==Nucleus) cut-off??,BetaCatenin_Nuclear,IHC,no,research,float64,14.27
47,Bcat_Mem,BCAT Membrane,,enzyme name (BCAT) location enzyme expressed (Mem==Membrane) cut-off??,BetaCatenin_Membranous,IHC,no,research,float64,14.27
48,Fascin_cyto,FASCIN Cytoplasm,,"protein name (FASCIN) location protein expressed (cyto==Cytoplasm) cut-off??. Fascin is commonly studied in the context of cell migration, cell adhesion, and cancer metastasis. Its expression in the cytoplasm is of interest because it is associated with the formation of actin-rich structures like filopodia, which are involved in cell motility and tissue invasion. Its overexpression in cancer is associated with more aggressive disease, making it a potential target for further research and therapeutic development.",Fascin_Cytoplasmic,IHC,no,research,float64,22.3
49,Zeb_nuc,ZEB Nucleus,,protein name (ZEB) location protein expressed (nuc==Nucleus) cut-off??,ZEB1_Nuclear,IHC,no,research,Int8,11.5
50,Twist_cyto,TWIST Cytoplasm,,"protein name (TWIST) location protein expressed (cyto==Cytoplasm) cut-off?? TWIST proteins, particularly TWIST1 and TWIST2, are transcription factors that play a critical role in EMT, a cellular process associated with cancer invasion and metastasis. Their overexpression in cancer is often linked to more aggressive tumor behavior and poorer patient outcomes.",Twist_Cytoplasmic,IHC,no,research,Int8,11.5
51,Twist_nuc,TWIST Nucleus,,protein name (TWIST) location protein expressed (nuc==Nucleus) cut-off??,Twist_Nuclear,IHC,no,research,Int8,10.66
52,Snail_cyto,SNAIL Cytoplasm,,"protein name (SNAIL) location protein expressed (cyto==Cytoplasm) cut-off?? SNAIL proteins, particularly SNAIL1 and SNAIL2 (SLUG), are transcription factors that play a critical role in EMT, a cellular process associated with cancer invasion and metastasis. Their overexpression in cancer is often linked to more aggressive tumor behavior and poorer patient outcomes.",Snail_Cytoplasmic,IHC,no,research,Int8,10.66
53,Snailnuc,SNAIL Nucleus,,protein name (SNAIL) location protein expressed (nuc==Nucleus) cut-off??,Snail_Nuclear,IHC,no,research,Int8,23.96
54,SOX9_cyto,SOX9 Cytoplasm,,"protein name (S0X9) location protein expressed (cyto==Cytoplasm) cut-off?? SOX9 is a transcription factor with complex roles in cancer. Its functions in tissue development and maintenance make it relevant to various cancer types, where it can either promote or suppress tumor progression, depending on the specific context. Understanding how SOX9 is regulated and its effects on cancer cells is essential for developing potential therapeutic strategies and improving cancer diagnosis and treatment.",SOX9_Cytoplasmic,IHC,no,research,Int8,23.96
55,SOX9_nuc,SOX9 Nucleus,,protein name (S0X9) location protein expressed (nuc==Nucleus) cut-off??,SOX9_Nuclear,IHC,no,research,Int8,25.48
56,Zeb_cyto,ZEB Cytoplasm,,protein name (ZEB) location protein expressed (cyto==Cytoplasm) cut-off??,ZEB1_Cytoplasmic,IHC,no,research,Int8,25.35
57,SMAD4_Cyto_NS,SMAD4 Cytoplasm,,"protein name (SMAD4) location protein expressed (cyto==Cytoplasm) cut-off (>67.51). SMAD4 is a tumor suppressor protein that plays a crucial role in the regulation of cell growth and differentiation through the TGF-β signaling pathway. Inactivation or mutation of SMAD4 is associated with several cancer types, leading to more aggressive cancer behavior. ",SMAD4_Cytoplasmic_NS,IHC,no,research,float64,6.23
58,SMAD4_Nu_NS,SMAD4 Nucleus,,protein name (SMAD4) location protein expressed (Nu==Nucleus) cut-off (>6.91),SMAD4_Nuclear_NS,IHC,no,research,float64,6.23
59,SMAD4_Stroma_Cyto,SMAD4 Stroma and Cytoplasm,,protein name (SMAD4) location protein expressed (Stroma==Stroma and Cyo==Cytoplasm) cut-off (>4.94),SMAD4_Stroma_Cytoplasmic,IHC,no,research,float64,9.83
60,SMAD4_Stroma_Nu,SMAD4 Stroma and Nucleus,,protein name (SMAD4) location protein expressed (Stroma==Stroma and Nu==Nucleus) cut-off (>3.88),SMAD4_Stroma_Nuclear,IHC,no,research,float64,9.83
61,Cyto_budcohort_Zeb11_A,ZEB1 Cytoplasm ,,"""bud cohort"" refers to a group or category of patients who have tumor buds present in their cancer tissue samples. It is a way to describe the subset of patients whose tumors exhibit these invasive features. The cytoplasmic expression of ZEB1 in the tumor bud cohort is a significant finding in cancer pathology. It points to an aggressive tumor phenotype, increased metastatic potential, and potential prognostic significance.",BudCohort_ZEB1_Cytoplasmic_A,IHC,no,research,Int8,29.64
62,Nuc_budcohort_zeb1,ZEB1 Nucleus,,"The nuclear expression of ZEB1 in the tumor bud cohort points to its role in driving EMT (epithelial-to-mesenchymal transition), promoting cancer cell invasiveness, and increasing metastatic potential. ",BudCohort_ZEB1_Nuclear,IHC,no,research,Int8,29.64
63,NPM1_GK,NPM1 ,,Protein name (NPM1). NPM1 expression in cancer is a complex and multifaceted topic. It is not only related to genetic mutations but also to its subcellular localization and its interactions with other proteins. ,NPM1_GK,IHC,no,research,float64,24.52
64,pSTAT3_705_UH,pSTAT3,,protein name (STAT3) location protein expressed??? cut-off (>198.01). The phosphorylation (p) of STAT3 at tyrosine residues in tumor cell nuclei is a significant event in cancer biology. It influences various aspects of cancer development and progression.,pSTAT3_Y705_UH,IHC,no,research,float64,5.96
65,IL17RA_Abs_PresPM,,"0 == absent, 1 == present",for protein,IL17RA_Presence,IHC,no,research,Int8,30.47
66,BRAF,,,,BRAF,Genetics,yes,routine,Int8,1.94
67,KRAS,,,,KRAS,Genetics,no,research,Int8,1.94
68,NRAS,,,,NRAS,Genetics,no,research,Int8,1.94
